x,y,z,yaw
-15.3955,43.3265,0.0000,-0.000001
-15.3955,43.3265,0.0000,-0.000001
-15.3955,43.3265,0.0000,-0.000001
-15.3955,43.3265,0.0000,-0.000001
-15.3955,43.3265,0.0000,-0.000001
-15.3955,43.3265,0.0000,-0.000001
-15.3955,43.3265,0.0000,-0.000001
-15.3955,43.3265,0.0000,-0.000001
-15.3955,43.3265,0.0000,-0.000001
-15.3955,43.3265,0.0000,-0.000001
-15.3955,43.3265,0.0000,-0.000001
-15.3955,43.3265,0.0000,-0.000001
-15.3955,43.3376,0.0000,-0.000001
-15.3955,43.3265,0.0000,-0.000001
-15.4044,43.3265,0.0000,-0.000001
-15.3955,43.3265,0.0000,-0.000001
-15.4044,43.3265,0.0000,-0.000001
-15.4044,43.3154,0.0000,-0.000001
-15.4044,43.3265,0.0000,-0.000001
-15.3955,43.3265,0.0000,-0.000001
-15.3955,43.3265,0.0000,-0.000001
-15.3955,43.3154,0.0000,-0.000001
-15.4044,43.3265,0.0000,-0.000001
-15.3955,43.3154,0.0000,-0.000001
-15.3955,43.3265,0.0000,-0.000001
-15.3955,43.3265,0.0000,-0.000001
-15.3955,43.3265,0.0000,-0.000001
-15.3955,43.3265,0.0000,-0.000001
-15.3955,43.3265,0.0000,-0.000001
-15.3955,43.3154,0.0000,-0.000001
-15.3955,43.3265,0.0000,-0.000001
-15.3955,43.3265,0.0000,-0.000001
-15.3152,43.3265,0.0000,0.164395
-15.1814,43.3487,0.0000,0.082756
-15.0476,43.3598,0.0000,0.243885
-14.9138,43.3931,0.0000,0.154287
-14.7711,43.4153,0.0000,0.216135
-14.6194,43.4486,0.0000,0.073058
-14.4678,43.4597,0.0000,0.229187
-14.3251,43.4930,0.0000,-0.000002
-14.1824,43.4930,0.0000,0.154288
-14.0397,43.5152,0.0000,0.216133
-13.8880,43.5485,0.0000,0.065391
-13.7185,43.5596,0.0000,0.069010
-13.5580,43.5707,0.0000,0.077604
-13.4153,43.5818,0.0000,0.154288
-13.2726,43.6040,0.0000,0.145345
-13.1209,43.6262,0.0000,0.069011
-12.9604,43.6373,0.0000,0.130227
-12.7909,43.6595,0.0000,0.130226
-12.6214,43.6817,0.0000,0.065389
-12.4519,43.6928,0.0000,0.065390
-12.2825,43.7039,0.0000,0.145343
-12.1308,43.7261,0.0000,0.130227
-11.9614,43.7483,0.0000,0.065390
-11.7919,43.7594,0.0000,0.130226
-11.6224,43.7816,0.0000,-0.000000
-11.4619,43.7816,0.0000,0.130225
-11.2924,43.8037,0.0000,0.073057
-11.1407,43.8148,0.0000,0.123783
-10.9624,43.8370,0.0000,0.117945
-10.7750,43.8592,0.0000,0.123783
-10.5966,43.8814,0.0000,0.184506
-10.4182,43.9147,0.0000,0.193983
-10.2488,43.9480,0.0000,0.065390
-10.0793,43.9591,0.0000,0.130226
-9.9098,43.9813,0.0000,0.193982
-9.7403,44.0146,0.0000,0.069013
-9.5798,44.0257,0.0000,0.137373
-9.4192,44.0479,0.0000,0.130227
-9.2498,44.0701,0.0000,0.137373
-9.0892,44.0923,0.0000,0.145344
-8.9376,44.1145,0.0000,0.073057
-8.7859,44.1256,0.0000,0.073057
-8.6343,44.1367,0.0000,0.216135
-8.4827,44.1700,0.0000,0.065390
-8.3132,44.1811,0.0000,0.069011
-8.1526,44.1922,0.0000,0.137374
-7.9921,44.2144,0.0000,0.069012
-7.8315,44.2255,0.0000,0.069013
-7.6710,44.2366,0.0000,0.130227
-7.5015,44.2588,0.0000,0.065390
-7.3320,44.2699,0.0000,0.204468
-7.1715,44.3032,0.0000,0.069013
-7.0109,44.3143,0.0000,0.065390
-6.8414,44.3253,0.0000,0.069012
-6.6809,44.3364,0.0000,0.137374
-6.5203,44.3586,0.0000,0.065389
-6.3508,44.3697,0.0000,0.130228
-6.1814,44.3919,0.0000,0.056493
-5.9851,44.4030,0.0000,0.175905
-5.7978,44.4363,0.0000,0.059178
-5.6105,44.4474,0.0000,0.112631
-5.4143,44.4696,0.0000,0.107771
-5.2091,44.4918,0.0000,0.000000
-4.9950,44.4918,0.0000,0.049726
-4.7721,44.5029,0.0000,0.099209
-4.5491,44.5251,0.0000,0.091904
-4.3082,44.5473,0.0000,0.095416
-4.0763,44.5695,0.0000,0.051795
-3.8622,44.5806,0.0000,0.046050
-3.6214,44.5917,0.0000,0.091902
-3.3806,44.6139,0.0000,0.044407
-3.1308,44.6250,0.0000,0.088639
-2.8811,44.6472,0.0000,0.044406
-2.6313,44.6583,0.0000,0.046049
-2.3905,44.6694,0.0000,0.044406
-2.1407,44.6805,0.0000,-0.044406
-1.8910,44.6694,0.0000,-0.000000
-1.6412,44.6694,0.0000,-0.000001
-1.3915,44.6694,0.0000,0.000000
-1.2309,44.6694,0.0000,-0.000001
-1.0704,44.6694,0.0000,-0.059177
-0.8831,44.6583,0.0000,-0.000000
-0.7047,44.6583,0.0000,0.000000
-0.5352,44.6583,0.0000,-0.000001
-0.3568,44.6583,0.0000,-0.059179
-0.1695,44.6472,0.0000,0.000000
-0.0000,44.6472,0.0000,-0.184509
0.1784,44.6139,0.0000,0.000000
0.3746,44.6139,0.0000,0.059179
0.5619,44.6250,0.0000,-0.056495
0.7582,44.6139,0.0000,-0.056494
0.9544,44.6028,0.0000,0.000000
1.1506,44.6028,0.0000,0.168064
1.3469,44.6361,0.0000,0.054044
1.5520,44.6472,0.0000,-0.054043
1.7572,44.6361,0.0000,-0.000000
1.9713,44.6361,0.0000,-0.056494
2.1675,44.6250,0.0000,0.000000
2.3816,44.6250,0.0000,-0.059178
2.5689,44.6139,0.0000,-0.000000
2.7651,44.6139,0.0000,-0.000000
3.0327,44.6139,0.0000,0.042878
3.2914,44.6250,0.0000,-0.085597
3.5501,44.6028,0.0000,0.082759
3.8176,44.6250,0.0000,0.046049
4.0585,44.6361,0.0000,0.044407
4.3082,44.6472,0.0000,0.091904
4.5491,44.6694,0.0000,0.128008
4.8077,44.7027,0.0000,0.164397
5.0753,44.7471,0.0000,0.049728
5.2983,44.7582,0.0000,0.204472
5.5124,44.8026,0.0000,0.091903
5.7532,44.8248,0.0000,0.184509
5.9316,44.8581,0.0000,0.065391
6.1011,44.8691,0.0000,0.204471
6.3152,44.9135,0.0000,0.154289
6.4579,44.9357,0.0000,-0.000001
6.5560,44.9357,0.0000,0.059178
6.7433,44.9468,0.0000,0.112630
6.8414,44.9579,0.0000,0.112630
6.8504,44.9579,0.0000,0.112630
6.8504,44.9468,0.0000,0.112630
