# bag: /home/avg/Data/slam_data/Woraksan_test2/rosbag2_2026_07_31-13_38_33
# topic: /gnss_2/llh_position (frame_id=gnss_2_antenna_link)
# stamp: header, unit=seconds
# mode: llh -> x=lat y=lon z=alt
# stddev: sqrt(diag(position_covariance)), meters (x_stddev=north, y_stddev=east, z_stddev=up)
# stamp x y z x_stddev y_stddev z_stddev
1785472713.753000021 36.843964100 128.092392000 293.212000000 0.014000000 0.014000000 0.016000001
1785472714.263999939 36.843964100 128.092392000 293.210000000 0.014000000 0.014000000 0.016000001
1785472714.759000063 36.843964100 128.092392000 293.205000000 0.014000000 0.014000000 0.016000001
1785472715.269999981 36.843964100 128.092392000 293.221000000 0.014000000 0.014000000 0.016000001
1785472715.765000105 36.843964100 128.092392000 293.208000000 0.014000000 0.014000000 0.016000001
1785472716.267999887 36.843964100 128.092392000 293.202000000 0.014000000 0.014000000 0.015000000
1785472716.750000000 36.843964100 128.092392000 293.215000000 0.014000000 0.014000000 0.015000000
1785472717.259000063 36.843964100 128.092392000 293.210000000 0.014000000 0.014000000 0.015000000
1785472717.750999928 36.843964100 128.092392000 293.223000000 0.014000000 0.014000000 0.016000001
1785472718.272000074 36.843964100 128.092392000 293.233000000 0.014000000 0.014000000 0.015000000
1785472718.756000042 36.843964100 128.092392000 293.218000000 0.014000000 0.014000000 0.016000001
1785472719.266000032 36.843964100 128.092392000 293.220000000 0.014000000 0.014000000 0.016000001
1785472719.772000074 36.843964200 128.092392000 293.232000000 0.014000000 0.014000000 0.016000001
1785472720.259000063 36.843964100 128.092392000 293.229000000 0.014000000 0.014000000 0.016000001
1785472720.753999949 36.843964100 128.092391900 293.207000000 0.014000000 0.014000000 0.017000001
1785472721.263999939 36.843964100 128.092392000 293.202000000 0.014000000 0.014000000 0.016000001
1785472721.759999990 36.843964100 128.092391900 293.211000000 0.014000000 0.014000000 0.017000001
1785472722.266999960 36.843964000 128.092391900 293.207000000 0.014000000 0.014000000 0.017000001
1785472722.750000000 36.843964100 128.092391900 293.202000000 0.014000000 0.014000000 0.017000001
1785472723.263999939 36.843964100 128.092392000 293.211000000 0.014000000 0.014000000 0.017000001
1785472723.753999949 36.843964100 128.092392000 293.205000000 0.014000000 0.014000000 0.017000001
1785472724.263999939 36.843964000 128.092392000 293.206000000 0.014000000 0.014000000 0.017000001
1785472724.749000072 36.843964100 128.092391900 293.192000000 0.014000000 0.014000000 0.017999999
1785472725.266000032 36.843964000 128.092392000 293.199000000 0.014000000 0.014000000 0.017999999
1785472725.759999990 36.843964100 128.092392000 293.214000000 0.014000000 0.014000000 0.017999999
1785472726.267999887 36.843964100 128.092392000 293.218000000 0.014000000 0.014000000 0.017999999
1785472726.755000114 36.843964100 128.092392000 293.196000000 0.014000000 0.014000000 0.017000001
1785472727.292000055 36.843964100 128.092392000 293.206000000 0.014000000 0.014000000 0.017999999
1785472727.763999939 36.843964100 128.092392000 293.209000000 0.014000000 0.014000000 0.017999999
1785472728.263999939 36.843964000 128.092392000 293.194000000 0.014000000 0.014000000 0.020000000
1785472728.750999928 36.843964100 128.092392000 293.200000000 0.014000000 0.014000000 0.020000000
1785472729.259000063 36.843964100 128.092392000 293.191000000 0.014000000 0.014000000 0.021000000
1785472729.765000105 36.843964100 128.092392900 293.203000000 0.014000000 0.014000000 0.023000000
1785472730.266999960 36.843964300 128.092394400 293.191000000 0.014000000 0.014000000 0.024000000
1785472730.753000021 36.843964400 128.092395900 293.198000000 0.014000000 0.014000000 0.024000000
1785472731.256000042 36.843964700 128.092397400 293.186000000 0.015000000 0.015000000 0.024000000
1785472731.753000021 36.843964900 128.092399000 293.174000000 0.014000000 0.014000000 0.027000001
1785472732.257999897 36.843965200 128.092400700 293.180000000 0.014000000 0.014000000 0.026000001
1785472732.750999928 36.843965300 128.092402400 293.210000000 0.014000000 0.014000000 0.025000000
1785472733.263000011 36.843965600 128.092404000 293.200000000 0.014000000 0.014000000 0.027000001
1785472733.746999979 36.843965600 128.092405600 293.191000000 0.014000000 0.014000000 0.026000001
1785472734.266000032 36.843965800 128.092407200 293.190000000 0.014000000 0.014000000 0.028000001
1785472734.750999928 36.843966100 128.092408900 293.164000000 0.014000000 0.014000000 0.028000001
1785472735.263999939 36.843966200 128.092410800 293.208000000 0.014000000 0.014000000 0.028000001
1785472735.779000044 36.843966300 128.092412600 293.173000000 0.016000001 0.016000001 0.032000002
1785472736.266999960 36.843966400 128.092414200 293.156000000 0.015000000 0.015000000 0.028999999
1785472736.753999949 36.843966600 128.092415800 293.149000000 0.014000000 0.014000000 0.026000001
1785472737.263999939 36.843966800 128.092417500 293.192000000 0.014000000 0.014000000 0.025000000
1785472737.782000065 36.843966900 128.092419300 293.196000000 0.015000000 0.015000000 0.027000001
1785472738.259000063 36.843967100 128.092421200 293.208000000 0.015000000 0.015000000 0.026000001
1785472738.753999949 36.843967300 128.092423100 293.207000000 0.015000000 0.015000000 0.027000001
1785472739.267999887 36.843967400 128.092425000 293.194000000 0.015000000 0.015000000 0.026000001
1785472739.750000000 36.843967500 128.092426900 293.197000000 0.014000000 0.014000000 0.026000001
1785472740.282999992 36.843967700 128.092428600 293.188000000 0.014000000 0.014000000 0.025000000
1785472740.760999918 36.843967900 128.092430500 293.192000000 0.014000000 0.014000000 0.022000000
1785472741.266000032 36.843968000 128.092432400 293.199000000 0.014000000 0.014000000 0.021000000
1785472741.763000011 36.843968200 128.092434300 293.187000000 0.014000000 0.014000000 0.020000000
1785472742.269000053 36.843968200 128.092436100 293.213000000 0.014000000 0.014000000 0.018999999
1785472742.753000021 36.843968400 128.092438000 293.181000000 0.014000000 0.014000000 0.018999999
1785472743.263000011 36.843968500 128.092439700 293.187000000 0.014000000 0.014000000 0.017999999
1785472743.757999897 36.843968700 128.092441700 293.184000000 0.014000000 0.014000000 0.017999999
1785472744.262000084 36.843968900 128.092443800 293.195000000 0.014000000 0.014000000 0.020000000
1785472744.753999949 36.843969100 128.092445800 293.189000000 0.014000000 0.014000000 0.020000000
1785472745.266999960 36.843969400 128.092447800 293.163000000 0.014000000 0.014000000 0.017999999
1785472745.766999960 36.843969700 128.092449700 293.177000000 0.014000000 0.014000000 0.017000001
1785472746.266000032 36.843969800 128.092451600 293.175000000 0.014000000 0.014000000 0.016000001
1785472746.755000114 36.843970000 128.092453500 293.169000000 0.014000000 0.014000000 0.015000000
1785472747.259000063 36.843970300 128.092455400 293.168000000 0.014000000 0.014000000 0.015000000
1785472747.756999969 36.843970400 128.092457200 293.195000000 0.014000000 0.014000000 0.016000001
1785472748.265000105 36.843970600 128.092459000 293.194000000 0.014000000 0.014000000 0.015000000
1785472748.755000114 36.843970800 128.092460900 293.197000000 0.014000000 0.014000000 0.017000001
1785472749.266999960 36.843971000 128.092462700 293.196000000 0.014000000 0.014000000 0.017999999
1785472749.756999969 36.843971200 128.092464400 293.189000000 0.014000000 0.014000000 0.017999999
1785472750.259000063 36.843971300 128.092466100 293.172000000 0.014000000 0.014000000 0.017999999
1785472750.752000093 36.843971400 128.092467800 293.174000000 0.014000000 0.014000000 0.017999999
1785472751.263999939 36.843971700 128.092469500 293.167000000 0.014000000 0.014000000 0.017000001
1785472751.763999939 36.843971800 128.092471400 293.170000000 0.014000000 0.014000000 0.016000001
1785472752.263000011 36.843971900 128.092473200 293.142000000 0.014000000 0.014000000 0.016000001
1785472752.750000000 36.843972100 128.092475000 293.149000000 0.014000000 0.014000000 0.017000001
1785472753.259999990 36.843972200 128.092476800 293.146000000 0.014000000 0.014000000 0.017000001
1785472753.756000042 36.843972300 128.092478600 293.169000000 0.014000000 0.014000000 0.018999999
1785472754.266999960 36.843972500 128.092480500 293.180000000 0.014000000 0.014000000 0.020000000
1785472754.757999897 36.843972600 128.092482400 293.178000000 0.014000000 0.014000000 0.020000000
1785472755.263999939 36.843972900 128.092484200 293.153000000 0.014000000 0.014000000 0.017000001
1785472755.755000114 36.843973000 128.092486000 293.186000000 0.014000000 0.014000000 0.017999999
1785472756.257999897 36.843973100 128.092487900 293.177000000 0.014000000 0.014000000 0.020000000
1785472756.759999990 36.843973200 128.092489700 293.178000000 0.014000000 0.014000000 0.018999999
1785472757.273000002 36.843973400 128.092491500 293.193000000 0.014000000 0.014000000 0.017999999
1785472757.759000063 36.843973500 128.092493400 293.166000000 0.014000000 0.014000000 0.020000000
1785472758.267999887 36.843973700 128.092495300 293.194000000 0.014000000 0.014000000 0.020000000
1785472758.763999939 36.843973800 128.092497500 293.171000000 0.014000000 0.014000000 0.018999999
1785472759.269999981 36.843974100 128.092499600 293.152000000 0.014000000 0.014000000 0.015000000
1785472759.776999950 36.843974200 128.092501700 293.146000000 0.014000000 0.014000000 0.017000001
1785472760.273000002 36.843974400 128.092503900 293.167000000 0.014000000 0.014000000 0.018999999
1785472760.756000042 36.843974600 128.092506200 293.140000000 0.014000000 0.014000000 0.020000000
1785472761.267999887 36.843974600 128.092508600 293.160000000 0.014000000 0.014000000 0.020000000
1785472761.757999897 36.843974700 128.092511100 293.148000000 0.014000000 0.014000000 0.022000000
1785472762.263999939 36.843974900 128.092513600 293.147000000 0.014000000 0.014000000 0.021000000
1785472762.755000114 36.843975100 128.092516300 293.168000000 0.014000000 0.014000000 0.021000000
1785472763.266999960 36.843975300 128.092518900 293.148000000 0.014000000 0.014000000 0.022000000
1785472763.772000074 36.843975400 128.092521300 293.139000000 0.014000000 0.014000000 0.023000000
1785472764.265000105 36.843975500 128.092524000 293.177000000 0.014000000 0.014000000 0.021000000
1785472764.765000105 36.843975700 128.092526700 293.144000000 0.016000001 0.016000001 0.026000001
1785472765.257999897 36.843975800 128.092529500 293.163000000 0.016000001 0.016000001 0.027000001
1785472765.760999918 36.843976000 128.092532300 293.174000000 0.016000001 0.016000001 0.027000001
1785472766.266999960 36.843976100 128.092535100 293.151000000 0.015000000 0.015000000 0.026000001
1785472766.762000084 36.843976200 128.092537800 293.164000000 0.014000000 0.014000000 0.025000000
1785472767.267999887 36.843976300 128.092540600 293.151000000 0.014000000 0.014000000 0.024000000
1785472767.766000032 36.843976200 128.092543400 293.181000000 0.015000000 0.015000000 0.027000001
1785472768.269999981 36.843976200 128.092546200 293.187000000 0.015000000 0.015000000 0.026000001
1785472768.763000011 36.843976200 128.092549000 293.164000000 0.015000000 0.015000000 0.027000001
1785472769.272000074 36.843976200 128.092550800 293.178000000 0.014000000 0.014000000 0.024000000
1785472769.756000042 36.843976200 128.092552600 293.155000000 0.014000000 0.014000000 0.026000001
1785472770.276000023 36.843976100 128.092554700 293.197000000 0.014000000 0.014000000 0.024000000
1785472770.762000084 36.843976100 128.092556700 293.193000000 0.015000000 0.015000000 0.026000001
1785472771.270999908 36.843976100 128.092558600 293.195000000 0.014000000 0.014000000 0.024000000
1785472771.770999908 36.843976100 128.092560600 293.173000000 0.014000000 0.014000000 0.022000000
