x,y,z,yaw
-0.007255,0.01178,-0.007725,0.258800834037354
-0.006936,0.012972,-0.00703,0.251353763058853
-0.006991,0.012935,-0.007707,0.256262920885771
-0.006655,0.012908,-0.007367,0.248179954403711
-0.006145,0.01253,-0.008006,0.245707330019369
-0.006117,0.012312,-0.008244,0.244156049582381
-0.005988,0.012376,-0.007622,0.243702086799302
-0.005312,0.012206,-0.007951,0.241993789437195
-0.00467,0.012932,-0.008338,0.252045971634884
-0.003071,0.014221,-0.007528,0.251113899011806
-0.001816,0.014311,-0.007496,0.250654790998388
-0.002132,0.013692,-0.007741,0.245488362367088
-0.002379,0.013238,-0.007201,0.247258332964009
-0.002412,0.012814,-0.006648,0.244953218035977
-0.001972,0.012172,-0.007947,0.251462501465635
-0.001097,0.012201,-0.00806,0.247983902439525
-0.001295,0.012623,-0.008491,0.251331532268492
-0.002659,0.013039,-0.007928,0.245513549863059
-0.003072,0.012654,-0.008616,0.254032838147635
-0.002494,0.012701,-0.007891,0.250257550096777
-0.002419,0.012709,-0.006844,0.24652340879481
-0.00346,0.012815,-0.00737,0.245039446854178
-0.003835,0.012632,-0.007533,0.249844466002752
-0.003185,0.013017,-0.007929,0.245239580380213
-0.002329,0.013901,-0.008267,0.249167399747094
-0.001835,0.014816,-0.007838,0.247443214771206
-0.001252,0.015114,-0.007931,0.242149709298292
-0.001889,0.014864,-0.00722,0.238987334674639
-0.002215,0.014518,-0.007028,0.238737791770015
-0.001754,0.014018,-0.007504,0.24639863344988
-0.001685,0.013305,-0.008057,0.251538594709272
-0.002013,0.013012,-0.008975,0.238853437280308
-0.001779,0.012265,-0.008906,0.237987428311789
-0.001026,0.012775,-0.008454,0.24710242148549
-0.00004,0.012625,-0.008755,0.247856364904254
-0.000027,0.012106,-0.007735,0.239800434279805
-0.000451,0.012649,-0.008112,0.24029300605412
-0.001168,0.012476,-0.008398,0.239065066751523
-0.002017,0.012098,-0.008704,0.243815375026549
-0.003425,0.011692,-0.008505,0.242796685343093
-0.002888,0.011688,-0.008649,0.234925268761543
-0.00212,0.012116,-0.007959,0.24949483163416
-0.002281,0.012757,-0.007055,0.236507122612743
-0.002217,0.011944,-0.007731,0.238676464047793
-0.002082,0.011211,-0.007839,0.235888357628012
-0.002384,0.010514,-0.007296,0.229462374631795
-0.003786,0.01031,-0.006438,0.229630009646947
-0.004851,0.010329,-0.006951,0.24424911917839
-0.005433,0.009833,-0.00723,0.239832463543717
-0.006065,0.009182,-0.007415,0.234755420916995
-0.006403,0.008992,-0.007769,0.235041982409289
-0.006188,0.00986,-0.008488,0.24465922730807
-0.006071,0.010613,-0.00833,0.24576328453951
-0.006448,0.011051,-0.007647,0.243306428998462
-0.005897,0.011444,-0.007125,0.236237356335725
-0.005934,0.012047,-0.006273,0.238428507319146
-0.005646,0.012359,-0.006407,0.249455870016979
-0.004345,0.011669,-0.006766,0.246845989736383
-0.003232,0.010813,-0.008228,0.238591677487004
-0.003255,0.010452,-0.008007,0.240830455881542
-0.003866,0.010116,-0.008299,0.23590710906491
