stamp,session,status,lat,lon,alt,cov_xx,cov_yy,cov_zz,x,y,z
1785471939.999736309,20260731_132539,0,36.843660400,128.093547900,297.4890,0.006561,0.006561,0.017424,87.7081,9.6224,0.0000
1785471940.999736309,20260731_132539,0,36.843660400,128.093547800,297.4860,0.006561,0.006561,0.017424,87.6992,9.6224,0.0000
1785471941.999736309,20260731_132539,0,36.843660500,128.093547500,297.5470,0.005929,0.005929,0.015625,87.6725,9.6335,0.0000
1785471942.999736309,20260731_132539,0,36.843660500,128.093546900,297.6100,0.005476,0.005476,0.015625,87.6189,9.6335,0.0000
1785471943.999736071,20260731_132539,0,36.843660600,128.093546500,297.6230,0.005329,0.005329,0.015129,87.5833,9.6446,0.0000
1785471944.999736071,20260731_132539,0,36.843660500,128.093546800,297.6570,0.005041,0.005041,0.014161,87.6100,9.6335,0.0000
1785471945.999736071,20260731_132539,0,36.843660800,128.093545500,297.6600,0.005329,0.005329,0.015376,87.4941,9.6668,0.0000
1785471946.999736071,20260731_132539,0,36.843660700,128.093545900,297.6810,0.005476,0.005476,0.015625,87.5297,9.6557,0.0000
1785471947.999736071,20260731_132539,0,36.843660700,128.093545900,297.7090,0.005329,0.005329,0.015876,87.5297,9.6557,0.0000
1785471948.999736071,20260731_132539,0,36.843660700,128.093545800,297.7050,0.005184,0.005184,0.014641,87.5208,9.6557,0.0000
1785471949.999736071,20260731_132539,0,36.843661000,128.093545500,297.6870,0.005329,0.005329,0.016129,87.4941,9.6890,0.0000
1785471950.999736071,20260731_132539,0,36.843661000,128.093545900,297.6990,0.005329,0.005329,0.016129,87.5297,9.6890,0.0000
1785471951.999736071,20260731_132539,0,36.843661100,128.093546200,297.7150,0.005184,0.005184,0.013689,87.5565,9.7001,0.0000
1785471952.999736071,20260731_132539,0,36.843661100,128.093546200,297.7290,0.004900,0.004900,0.013924,87.5565,9.7001,0.0000
1785471953.999735832,20260731_132539,0,36.843661300,128.093546300,297.7270,0.005329,0.005329,0.014161,87.5654,9.7223,0.0000
1785471954.999735832,20260731_132539,0,36.843661400,128.093546700,297.7110,0.005041,0.005041,0.013689,87.6011,9.7334,0.0000
1785471955.999735832,20260731_132539,0,36.843661700,128.093546800,297.7140,0.004900,0.004900,0.013689,87.6100,9.7667,0.0000
1785471956.999735832,20260731_132539,0,36.843661800,128.093547200,297.7150,0.004900,0.004900,0.013689,87.6457,9.7778,0.0000
1785471957.999735832,20260731_132539,0,36.843661600,128.093547400,297.7030,0.004761,0.004761,0.013456,87.6635,9.7556,0.0000
1785471958.999735832,20260731_132539,0,36.843661100,128.093547500,297.7290,0.004624,0.004624,0.012996,87.6725,9.7001,0.0000
1785471959.999735832,20260731_132539,0,36.843658800,128.093547000,297.7120,0.005329,0.005329,0.013689,87.6279,9.4448,0.0000
1785471960.999735832,20260731_132539,0,36.843655500,128.093546700,297.7000,0.007744,0.007744,0.017689,87.6011,9.0786,0.0000
1785471961.999735832,20260731_132539,0,36.843652200,128.093544900,297.7370,0.007744,0.007744,0.022500,87.4406,8.7124,0.0000
1785471962.999735832,20260731_132539,0,36.843648700,128.093544000,297.8630,0.010609,0.010609,0.030276,87.3603,8.3239,0.0000
1785471963.999735832,20260731_132539,0,36.843644800,128.093543200,297.8550,0.008100,0.008100,0.019044,87.2889,7.8911,0.0000
1785471964.999735832,20260731_132539,0,36.843640100,128.093542500,297.7950,0.008100,0.008100,0.025600,87.2265,7.3695,0.0000
1785471965.999735594,20260731_132539,0,36.843635700,128.093541100,297.9030,0.005776,0.005776,0.019044,87.1016,6.8812,0.0000
1785471966.999735594,20260731_132539,0,36.843630800,128.093540400,297.9030,0.006084,0.006084,0.017689,87.0392,6.3374,0.0000
1785471967.999735594,20260731_132539,0,36.843625700,128.093539500,297.9770,0.007225,0.007225,0.016900,86.9589,5.7714,0.0000
1785471968.999735594,20260731_132539,0,36.843620200,128.093539700,298.0520,0.007056,0.007056,0.023716,86.9768,5.1610,0.0000
1785471969.999735594,20260731_132539,0,36.843614900,128.093540800,297.9540,0.007056,0.007056,0.019881,87.0749,4.5728,0.0000
1785471970.999735594,20260731_132539,0,36.843609400,128.093540900,297.9690,0.007056,0.007056,0.024964,87.0838,3.9624,0.0000
1785471971.999735594,20260731_132539,0,36.843603500,128.093541500,297.9330,0.005476,0.005476,0.017424,87.1373,3.3076,0.0000
1785471972.999735594,20260731_132539,0,36.843597200,128.093542300,298.0270,0.006084,0.006084,0.014641,87.2087,2.6085,0.0000
1785471973.999735594,20260731_132539,0,36.843591500,128.093543100,297.9110,0.005776,0.005776,0.015876,87.2801,1.9759,0.0000
1785471974.999735594,20260731_132539,0,36.843585700,128.093545000,298.0310,0.006241,0.006241,0.021025,87.4496,1.3322,0.0000
1785471975.999735594,20260731_132539,0,36.843580800,128.093548200,298.1070,0.007569,0.007569,0.020449,87.7350,0.7884,0.0000
1785471976.999735355,20260731_132539,0,36.843577700,128.093552600,297.9040,0.008464,0.008464,0.025600,88.1275,0.4444,0.0000
1785471977.999735355,20260731_132539,0,36.843576800,128.093558500,297.6360,0.006724,0.006724,0.021609,88.6537,0.3445,0.0000
1785471978.999735355,20260731_132539,0,36.843575600,128.093564700,297.3930,0.007056,0.007056,0.022801,89.2068,0.2113,0.0000
1785471979.999735355,20260731_132539,0,36.843575700,128.093571900,297.2850,0.005929,0.005929,0.023104,89.8490,0.2224,0.0000
1785471980.999735355,20260731_132539,0,36.843575900,128.093580000,297.2630,0.006241,0.006241,0.022500,90.5715,0.2446,0.0000
1785471981.999735355,20260731_132539,0,36.843572700,128.093590500,297.4250,0.006724,0.006724,0.019600,91.5081,-0.1105,0.0000
1785471982.999735355,20260731_132539,0,36.843567300,128.093599600,297.5650,0.006400,0.006400,0.019321,92.3198,-0.7098,0.0000
1785471983.999735355,20260731_132539,0,36.843561000,128.093607000,297.5420,0.006084,0.006084,0.018769,92.9798,-1.4089,0.0000
1785471984.999735117,20260731_132539,0,36.843553900,128.093612700,297.6170,0.005476,0.005476,0.015625,93.4883,-2.1969,0.0000
1785471985.999735117,20260731_132539,0,36.843547000,128.093616900,297.6300,0.004489,0.004489,0.012100,93.8629,-2.9626,0.0000
1785471986.999735117,20260731_132539,0,36.843540900,128.093621800,297.5860,0.004761,0.004761,0.012996,94.3000,-3.6396,0.0000
1785471987.999735117,20260731_132539,0,36.843535700,128.093627100,297.6270,0.004489,0.004489,0.011881,94.7727,-4.2167,0.0000
1785471988.999735117,20260731_132539,0,36.843529200,128.093632900,297.5890,0.004356,0.004356,0.011025,95.2901,-4.9381,0.0000
1785471989.999735117,20260731_132539,0,36.843522800,128.093638400,297.5780,0.004225,0.004225,0.011025,95.7807,-5.6483,0.0000
1785471990.999735117,20260731_132539,0,36.843516600,128.093643800,297.5600,0.004489,0.004489,0.012321,96.2624,-6.3364,0.0000
1785471991.999734879,20260731_132539,0,36.843509800,128.093649700,297.5730,0.003969,0.003969,0.011025,96.7887,-7.0911,0.0000
1785471992.999734879,20260731_132539,0,36.843504100,128.093654400,297.5600,0.004096,0.004096,0.010609,97.2079,-7.7236,0.0000
1785471993.999734879,20260731_132539,0,36.843498300,128.093659200,297.5380,0.004096,0.004096,0.010404,97.6360,-8.3673,0.0000
1785471994.999734879,20260731_132539,0,36.843491600,128.093664500,297.5450,0.003969,0.003969,0.010609,98.1088,-9.1109,0.0000
1785471995.999734879,20260731_132539,0,36.843485200,128.093669800,297.5370,0.004096,0.004096,0.010609,98.5816,-9.8212,0.0000
1785471996.999734640,20260731_132539,0,36.843477700,128.093676000,297.5670,0.003969,0.003969,0.010404,99.1346,-10.6535,0.0000
1785471997.999734640,20260731_132539,0,36.843470400,128.093682000,297.6280,0.004096,0.004096,0.010609,99.6698,-11.4636,0.0000
1785471998.999734640,20260731_132539,0,36.843463200,128.093688000,297.6850,0.003969,0.003969,0.010404,100.2050,-12.2627,0.0000
1785471999.999734640,20260731_132539,0,36.843451600,128.093700500,297.4640,0.002116,0.002116,0.006561,101.3200,-13.5500,0.0000
1785472000.999734640,20260731_132539,0,36.843444100,128.093708100,297.4710,0.002304,0.002304,0.006561,101.9979,-14.3824,0.0000
1785472001.999734640,20260731_132539,0,36.843437500,128.093714400,297.4930,0.002116,0.002116,0.006400,102.5599,-15.1148,0.0000
1785472002.999734402,20260731_132539,0,36.843429700,128.093718900,297.4960,0.002304,0.002304,0.006400,102.9613,-15.9805,0.0000
1785472003.999734402,20260731_132539,0,36.843421000,128.093722200,297.5430,0.002304,0.002304,0.006561,103.2556,-16.9460,0.0000
1785472004.999734402,20260731_132539,0,36.843412100,128.093723900,297.6400,0.002401,0.002401,0.007225,103.4073,-17.9337,0.0000
1785472005.999734402,20260731_132539,0,36.843404600,128.093726400,297.6090,0.002116,0.002116,0.005929,103.6303,-18.7661,0.0000
1785472006.999734402,20260731_132539,2,36.843410900,128.093708100,297.1190,0.000196,0.000196,0.000361,101.9979,-18.0669,0.0000
1785472007.999734163,20260731_132539,2,36.843406600,128.093712800,297.1420,0.000196,0.000196,0.000441,102.4172,-18.5441,0.0000
1785472008.999734163,20260731_132539,2,36.843404900,128.093718400,297.1330,0.000196,0.000196,0.000484,102.9167,-18.7328,0.0000
1785472009.999734163,20260731_132539,2,36.843404900,128.093723800,297.1410,0.000256,0.000256,0.000900,103.3984,-18.7328,0.0000
1785472010.999734163,20260731_132539,2,36.843406100,128.093729700,297.1600,0.000324,0.000324,0.001225,103.9246,-18.5996,0.0000
1785472011.999734163,20260731_132539,2,36.843406500,128.093737900,297.1900,0.000256,0.000256,0.001024,104.6560,-18.5552,0.0000
1785472012.999733925,20260731_132539,2,36.843406800,128.093745600,297.2040,0.000256,0.000256,0.000841,105.3429,-18.5219,0.0000
1785472013.999733925,20260731_132539,2,36.843407000,128.093753700,297.2560,0.000225,0.000225,0.000729,106.0654,-18.4997,0.0000
1785472014.999733925,20260731_132539,2,36.843407500,128.093762400,297.2670,0.000196,0.000196,0.000676,106.8414,-18.4442,0.0000
1785472015.999733925,20260731_132539,2,36.843408100,128.093771700,297.3110,0.000196,0.000196,0.000676,107.6709,-18.3776,0.0000
1785472016.999733925,20260731_132539,2,36.843408600,128.093782400,297.3480,0.000225,0.000225,0.000784,108.6254,-18.3221,0.0000
1785472017.999733686,20260731_132539,2,36.843409100,128.093792800,297.3630,0.000225,0.000225,0.000841,109.5530,-18.2666,0.0000
1785472018.999733686,20260731_132539,2,36.843409800,128.093803300,297.3870,0.000196,0.000196,0.000729,110.4896,-18.1889,0.0000
1785472019.999733686,20260731_132539,2,36.843410400,128.093813500,297.4270,0.000196,0.000196,0.000729,111.3994,-18.1223,0.0000
1785472020.999733686,20260731_132539,2,36.843411000,128.093823700,297.4380,0.000225,0.000225,0.000784,112.3092,-18.0557,0.0000
1785472021.999733448,20260731_132539,2,36.843411700,128.093833900,297.4670,0.000225,0.000225,0.000784,113.2191,-17.9780,0.0000
1785472022.999733448,20260731_132539,2,36.843412200,128.093844800,297.4840,0.000256,0.000256,0.000841,114.1913,-17.9225,0.0000
1785472023.999733448,20260731_132539,2,36.843412700,128.093855100,297.5200,0.000196,0.000196,0.000784,115.1100,-17.8670,0.0000
1785472024.999733448,20260731_132539,2,36.843413000,128.093865200,297.5660,0.000225,0.000225,0.000841,116.0109,-17.8337,0.0000
1785472025.999733210,20260731_132539,2,36.843413500,128.093875200,297.5920,0.000289,0.000289,0.000961,116.9029,-17.7782,0.0000
1785472026.999733210,20260731_132539,2,36.843414000,128.093885500,297.6300,0.000289,0.000289,0.001024,117.8217,-17.7227,0.0000
1785472027.999733210,20260731_132539,2,36.843414400,128.093896200,297.6610,0.000324,0.000324,0.001156,118.7761,-17.6783,0.0000
1785472028.999732971,20260731_132539,2,36.843415100,128.093907300,297.6700,0.000400,0.000400,0.001369,119.7662,-17.6006,0.0000
1785472029.999732971,20260731_132539,2,36.843415900,128.093918600,297.6830,0.000484,0.000484,0.001681,120.7741,-17.5118,0.0000
1785472030.999732971,20260731_132539,2,36.843416300,128.093929700,297.7090,0.000484,0.000484,0.001849,121.7642,-17.4674,0.0000
1785472031.999732971,20260731_132539,2,36.843416700,128.093940800,297.7490,0.000361,0.000361,0.001444,122.7543,-17.4230,0.0000
1785472032.999732733,20260731_132539,2,36.843417400,128.093951300,297.7830,0.000529,0.000529,0.002025,123.6909,-17.3453,0.0000
1785472033.999732733,20260731_132539,2,36.843417900,128.093960500,297.8170,0.000484,0.000484,0.001764,124.5115,-17.2898,0.0000
1785472034.999732733,20260731_132539,2,36.843417900,128.093962900,297.8260,0.000529,0.000529,0.002025,124.7256,-17.2898,0.0000
1785472035.999732494,20260731_132539,2,36.843414900,128.093964900,297.8060,0.000400,0.000400,0.001444,124.9040,-17.6227,0.0000
1785472036.999732494,20260731_132539,2,36.843411600,128.093964500,297.8290,0.000676,0.000676,0.002304,124.8683,-17.9889,0.0000
1785472037.999732494,20260731_132539,2,36.843409000,128.093962500,297.8280,0.000784,0.000784,0.002601,124.6899,-18.2775,0.0000
1785472038.999732256,20260731_132539,2,36.843408400,128.093961800,297.8300,0.000441,0.000441,0.001521,124.6275,-18.3441,0.0000
1785472039.999732256,20260731_132539,2,36.843403300,128.093962200,297.8270,0.000441,0.000441,0.001600,124.6632,-18.9101,0.0000
1785472040.999732256,20260731_132539,2,36.843397800,128.093962800,297.8340,0.000324,0.000324,0.001225,124.7167,-19.5205,0.0000
1785472041.999732256,20260731_132539,2,36.843390900,128.093964000,297.8650,0.000361,0.000361,0.001156,124.8238,-20.2862,0.0000
1785472042.999732018,20260731_132539,2,36.843383300,128.093966200,297.8760,0.000225,0.000225,0.000900,125.0200,-21.1297,0.0000
1785472043.999732018,20260731_132539,2,36.843374900,128.093968200,297.9460,0.000225,0.000225,0.000900,125.1984,-22.0619,0.0000
1785472044.999732018,20260731_132539,2,36.843368200,128.093972300,297.9670,0.000225,0.000225,0.000900,125.5641,-22.8054,0.0000
1785472045.999731779,20260731_132539,2,36.843365400,128.093979800,298.0070,0.000225,0.000225,0.000841,126.2331,-23.1162,0.0000
