x,y,z,yaw
87.5565,9.7001,0.0000,0.894044
87.6100,9.7667,0.0000,0.894044
87.6457,9.7778,0.0000,0.894044
87.6635,9.7556,0.0000,-1.410034
87.6725,9.7001,0.0000,-1.116093
93.8629,-2.9626,0.0000,-0.997490
94.3000,-3.6396,0.0000,-0.884520
94.7727,-4.2167,0.0000,-0.948609
95.2901,-4.9381,0.0000,-0.966277
95.7807,-5.6483,0.0000,-0.960041
96.2624,-6.3364,0.0000,-0.961842
96.7887,-7.0911,0.0000,-0.985498
97.2079,-7.7236,0.0000,-0.983906
97.6360,-8.3673,0.0000,-1.004450
98.1088,-9.1109,0.0000,-0.983509
98.5816,-9.8212,0.0000,-0.984348
99.1346,-10.6535,0.0000,-0.986964
99.6698,-11.4636,0.0000,-0.980660
100.2050,-12.2627,0.0000,-0.856998
101.3200,-13.5500,0.0000,-0.887341
101.9979,-14.3824,0.0000,-0.916290
102.5599,-15.1148,0.0000,-1.136632
102.9613,-15.9805,0.0000,-1.274927
103.2556,-16.9460,0.0000,-1.418398
103.4073,-17.9337,0.0000,-1.309043
103.6303,-18.7661,0.0000,2.736908
101.9979,-18.0669,0.0000,-0.849893
102.4172,-18.5441,0.0000,-0.361204
102.9167,-18.7328,0.0000,0.000000
103.3984,-18.7328,0.0000,0.247928
103.9246,-18.5996,0.0000,0.060631
104.6560,-18.5552,0.0000,0.048441
105.3429,-18.5219,0.0000,0.030717
106.0654,-18.4997,0.0000,0.071399
106.8414,-18.4442,0.0000,0.080117
107.6709,-18.3776,0.0000,0.058080
108.6254,-18.3221,0.0000,0.059761
109.5530,-18.2666,0.0000,0.082770
110.4896,-18.1889,0.0000,0.073073
111.3994,-18.1223,0.0000,0.073073
112.3092,-18.0557,0.0000,0.085187
113.2191,-17.9780,0.0000,0.057025
114.1913,-17.9225,0.0000,0.060338
115.1100,-17.8670,0.0000,0.036946
116.0109,-17.8337,0.0000,0.062140
116.9029,-17.7782,0.0000,0.060332
117.8217,-17.7227,0.0000,0.046488
118.7761,-17.6783,0.0000,0.078316
119.7662,-17.6006,0.0000,0.087877
120.7741,-17.5118,0.0000,0.044814
121.7642,-17.4674,0.0000,0.044814
122.7543,-17.4230,0.0000,0.082770
123.6909,-17.3453,0.0000,0.067531
124.5115,-17.2898,0.0000,0.000000
124.7256,-17.2898,0.0000,-1.078845
124.9040,-17.6227,0.0000,-1.667977
124.8683,-17.9889,0.0000,-2.124459
124.6899,-18.2775,0.0000,-2.323648
124.6275,-18.3441,0.0000,-1.507806
124.6632,-18.9101,0.0000,-1.483372
124.7167,-19.5205,0.0000,-1.431826
124.8238,-20.2862,0.0000,-1.342258
125.0200,-21.1297,0.0000,-1.381707
125.1984,-22.0619,0.0000,-1.113680
125.5641,-22.8054,0.0000,-0.434907
126.2331,-23.1162,0.0000,0.067522
127.0538,-23.0607,0.0000,-0.010727
128.0885,-23.0718,0.0000,-0.103247
129.1588,-23.1827,0.0000,-0.401934
130.2292,-23.6377,0.0000,-0.938172
130.9696,-24.6476,0.0000,-1.374307
131.2104,-25.8573,0.0000,-1.540459
131.2461,-27.0337,0.0000,-1.611781
131.2015,-28.1213,0.0000,-1.504636
131.2640,-29.0646,0.0000,-1.460055
131.3800,-30.1078,0.0000,-1.927023
130.9340,-31.3064,0.0000,-2.451406
129.9796,-32.0944,0.0000,-2.842047
128.7576,-32.4718,0.0000,3.106305
127.4999,-32.4274,0.0000,2.753766
126.3046,-31.9391,0.0000,2.523515
125.3056,-31.2288,0.0000,2.307888
124.4493,-30.2855,0.0000,2.035550
123.8873,-29.1646,0.0000,1.893948
123.4859,-27.9660,0.0000,1.907966
123.1202,-26.9228,0.0000,2.152562
122.5582,-26.0683,0.0000,2.205256
121.8803,-25.1472,0.0000,2.449177
121.1845,-24.5701,0.0000,3.017774
120.3818,-24.4702,0.0000,-3.056405
119.4719,-24.5479,0.0000,-3.119570
118.4640,-24.5701,0.0000,-3.120682
117.4025,-24.5923,0.0000,-3.120503
116.3500,-24.6145,0.0000,-3.110138
115.2885,-24.6479,0.0000,-3.098708
114.2538,-24.6923,0.0000,-3.099432
113.2013,-24.7367,0.0000,-3.107972
112.2112,-24.7700,0.0000,-3.098708
111.1765,-24.8144,0.0000,-3.086583
110.1686,-24.8699,0.0000,-3.097573
109.1606,-24.9143,0.0000,-3.077862
108.1170,-24.9809,0.0000,-3.055980
