# timestamp[ns] lat[deg] lon[deg] ele[m] lat_stddev[m] lon_stddev[m] ele_stddev[m]
1776141203220979700 36.843956000 128.092436800 293.1820 0.015000 0.015000 0.029000
1776141203719399228 36.843956000 128.092436800 293.1900 0.015000 0.015000 0.025000
1776141204226912428 36.843956100 128.092436700 293.2230 0.015000 0.015000 0.027000
1776141204715340654 36.843956000 128.092436800 293.2190 0.015000 0.015000 0.026000
1776141205230362077 36.843956000 128.092436700 293.1930 0.017000 0.017000 0.029000
1776141205714063179 36.843956000 128.092436800 293.1760 0.016000 0.016000 0.025000
1776141206224459064 36.843956000 128.092436700 293.2230 0.017000 0.017000 0.030000
1776141206710903894 36.843956000 128.092436700 293.2060 0.015000 0.015000 0.028000
1776141207236915019 36.843956100 128.092436700 293.1950 0.015000 0.015000 0.025000
1776141207713633381 36.843956000 128.092436800 293.1990 0.015000 0.015000 0.024000
1776141208224960703 36.843956000 128.092436800 293.2070 0.017000 0.017000 0.030000
1776141208712609233 36.843956100 128.092436800 293.1790 0.015000 0.015000 0.029000
1776141209221911214 36.843956000 128.092436700 293.2220 0.016000 0.016000 0.029000
1776141209714820694 36.843955800 128.092436800 293.1980 0.015000 0.015000 0.026000
1776141210228853643 36.843955900 128.092436800 293.2090 0.021000 0.021000 0.033000
1776141210720434293 36.843955900 128.092436800 293.2040 0.021000 0.021000 0.027000
1776141211214913866 36.843956000 128.092436700 293.2080 0.022000 0.022000 0.035000
1776141211715975640 36.843956000 128.092436800 293.1530 0.015000 0.015000 0.028000
1776141212225375864 36.843956000 128.092436700 293.1710 0.015000 0.015000 0.027000
1776141212713886451 36.843955800 128.092436800 293.1710 0.017000 0.017000 0.028000
1776141213229321211 36.843955800 128.092436700 293.2020 0.021000 0.021000 0.032000
1776141213719922063 36.843956000 128.092436700 293.1960 0.016000 0.016000 0.022000
1776141214226981084 36.843956000 128.092436700 293.1830 0.016000 0.016000 0.021000
1776141214720864309 36.843956000 128.092436800 293.1390 0.018000 0.018000 0.026000
1776141215231396786 36.843955900 128.092436800 293.1660 0.018000 0.018000 0.026000
1776141215712318921 36.843955900 128.092436800 293.1690 0.017000 0.017000 0.029000
1776141216228358033 36.843955900 128.092436800 293.1410 0.016000 0.016000 0.030000
1776141216714837816 36.843955900 128.092436800 293.1510 0.015000 0.015000 0.024000
1776141217227402746 36.843955900 128.092436800 293.1640 0.014000 0.014000 0.025000
1776141217718481755 36.843955900 128.092436900 293.2420 0.014000 0.014000 0.028000
1776141218219962659 36.843955800 128.092436900 293.2300 0.015000 0.015000 0.026000
1776141218733860777 36.843955800 128.092436800 293.2190 0.016000 0.016000 0.023000
1776141219230855785 36.843955800 128.092436800 293.1870 0.016000 0.016000 0.021000
1776141219719395674 36.843955700 128.092436800 293.1900 0.015000 0.015000 0.022000
1776141220242829035 36.843955900 128.092436800 293.1840 0.017000 0.017000 0.034000
1776141220741714174 36.843955900 128.092436800 293.1640 0.015000 0.015000 0.025000
1776141221244955852 36.843955800 128.092436800 293.1310 0.016000 0.016000 0.028000
1776141221712882825 36.843955700 128.092436900 293.1540 0.014000 0.014000 0.026000
1776141222224895922 36.843955700 128.092436900 293.1330 0.014000 0.014000 0.026000
1776141222714044164 36.843955700 128.092436900 293.1670 0.014000 0.014000 0.021000
1776141223249293200 36.843955700 128.092436900 293.1500 0.014000 0.014000 0.021000
1776141223748839244 36.843955700 128.092436900 293.1720 0.014000 0.014000 0.028000
1776141224224823524 36.843955500 128.092436900 293.1690 0.018000 0.018000 0.053000
1776141224710897080 36.843955900 128.092436800 293.1460 0.016000 0.016000 0.027000
1776141225228373028 36.843955700 128.092436900 293.1400 0.016000 0.016000 0.029000
1776141225716775605 36.843955800 128.092436900 293.1830 0.014000 0.014000 0.026000
1776141226220338344 36.843955700 128.092436900 293.1700 0.017000 0.017000 0.031000
1776141226719824644 36.843955800 128.092436800 293.1540 0.015000 0.015000 0.030000
1776141227225932015 36.843955700 128.092436800 293.1530 0.016000 0.016000 0.033000
1776141227716288673 36.843955900 128.092436800 293.1780 0.016000 0.016000 0.027000
1776141228221295100 36.843956000 128.092436800 293.1730 0.018000 0.018000 0.027000
1776141228710259007 36.843955800 128.092436800 293.1800 0.016000 0.016000 0.026000
1776141229214576640 36.843955900 128.092436800 293.1830 0.016000 0.016000 0.028000
1776141229714392737 36.843955800 128.092436800 293.1600 0.015000 0.015000 0.027000
1776141230222861554 36.843955800 128.092436800 293.1800 0.015000 0.015000 0.026000
1776141230717023161 36.843956000 128.092436800 293.1850 0.014000 0.014000 0.022000
1776141231231751119 36.843956000 128.092436800 293.1760 0.014000 0.014000 0.022000
1776141231723242177 36.843955900 128.092436800 293.2160 0.014000 0.014000 0.016000
1776141232230844987 36.843955900 128.092436800 293.2190 0.014000 0.014000 0.017000
1776141232724440336 36.843955900 128.092436800 293.2140 0.014000 0.014000 0.018000
1776141233232242033 36.843955900 128.092436800 293.2300 0.014000 0.014000 0.021000
1776141233714252375 36.843955900 128.092436800 293.2210 0.014000 0.014000 0.020000
1776141234231768216 36.843955900 128.092436800 293.2220 0.014000 0.014000 0.022000
1776141234722788827 36.843955900 128.092436800 293.2200 0.014000 0.014000 0.020000
1776141235233333683 36.843955900 128.092436800 293.2260 0.014000 0.014000 0.021000
1776141235721270911 36.843955700 128.092436800 293.2240 0.014000 0.014000 0.020000
1776141236225732489 36.843955800 128.092436800 293.2150 0.014000 0.014000 0.022000
1776141236716487923 36.843955800 128.092436700 293.2270 0.014000 0.014000 0.020000
1776141237227234218 36.843955800 128.092436800 293.2430 0.014000 0.014000 0.022000
1776141237715757896 36.843955900 128.092436800 293.2290 0.014000 0.014000 0.020000
1776141238228877725 36.843955800 128.092436800 293.2290 0.014000 0.014000 0.021000
1776141238724552305 36.843955800 128.092436800 293.2280 0.014000 0.014000 0.020000
1776141239230290180 36.843955800 128.092436800 293.2340 0.014000 0.014000 0.022000
1776141239719882911 36.843955800 128.092436800 293.2340 0.014000 0.014000 0.017000
1776141240230800065 36.843955900 128.092437000 293.2430 0.014000 0.014000 0.019000
1776141240716784088 36.843956100 128.092437800 293.2380 0.014000 0.014000 0.019000
1776141241231227412 36.843956500 128.092438800 293.2580 0.014000 0.014000 0.020000
1776141241719773854 36.843956500 128.092439600 293.2540 0.014000 0.014000 0.018000
1776141242224759960 36.843956600 128.092440600 293.2570 0.014000 0.014000 0.018000
1776141242715012870 36.843956600 128.092441500 293.2740 0.014000 0.014000 0.017000
1776141243232782212 36.843956800 128.092442300 293.2510 0.014000 0.014000 0.017000
1776141243723227664 36.843956900 128.092443300 293.2550 0.014000 0.014000 0.016000
1776141244237734491 36.843956900 128.092444200 293.2670 0.014000 0.014000 0.015000
1776141244728359867 36.843957100 128.092445000 293.2450 0.014000 0.014000 0.014000
1776141245236264637 36.843957200 128.092445900 293.2530 0.014000 0.014000 0.013000
1776141245733733939 36.843957300 128.092446800 293.2400 0.014000 0.014000 0.013000
1776141246240279208 36.843957400 128.092447600 293.2330 0.014000 0.014000 0.013000
1776141246728229531 36.843957500 128.092448600 293.2680 0.014000 0.014000 0.014000
1776141247233218628 36.843957800 128.092450300 293.2500 0.014000 0.014000 0.013000
1776141247741200923 36.843957900 128.092452200 293.2430 0.014000 0.014000 0.014000
1776141248248308368 36.843958300 128.092454600 293.2520 0.014000 0.014000 0.013000
1776141248733738798 36.843958600 128.092457000 293.2590 0.014000 0.014000 0.014000
1776141249240220337 36.843958900 128.092459500 293.2620 0.014000 0.014000 0.014000
1776141249732194087 36.843959200 128.092461900 293.2520 0.014000 0.014000 0.013000
1776141250238195375 36.843959400 128.092463900 293.2400 0.014000 0.014000 0.013000
1776141250733680151 36.843959700 128.092465600 293.2450 0.014000 0.014000 0.014000
1776141251238163446 36.843959800 128.092467400 293.2560 0.014000 0.014000 0.015000
1776141251725220388 36.843960000 128.092469400 293.2450 0.014000 0.014000 0.013000
1776141252244713526 36.843960200 128.092471400 293.2340 0.014000 0.014000 0.015000
1776141252730644818 36.843960500 128.092473300 293.2630 0.014000 0.014000 0.015000
1776141253243803810 36.843960700 128.092475200 293.2590 0.014000 0.014000 0.015000
1776141253738703229 36.843961000 128.092477100 293.2480 0.014000 0.014000 0.016000
1776141254235224715 36.843961200 128.092478900 293.2450 0.014000 0.014000 0.017000
1776141254722681206 36.843961300 128.092480800 293.2680 0.014000 0.014000 0.016000
1776141255240551079 36.843961600 128.092482700 293.2690 0.014000 0.014000 0.015000
1776141255749276389 36.843961800 128.092484400 293.2350 0.014000 0.014000 0.015000
1776141256252744077 36.843961700 128.092486300 293.2540 0.014000 0.014000 0.016000
1776141256749389197 36.843961700 128.092488200 293.2560 0.014000 0.014000 0.016000
1776141257258322789 36.843961800 128.092490100 293.2500 0.014000 0.014000 0.016000
1776141257748150185 36.843961900 128.092491900 293.2670 0.014000 0.014000 0.016000
1776141258262707585 36.843961900 128.092493900 293.2700 0.014000 0.014000 0.016000
1776141258749184275 36.843962000 128.092495700 293.2590 0.014000 0.014000 0.014000
1776141259263112406 36.843962000 128.092497600 293.2360 0.014000 0.014000 0.015000
1776141259747353166 36.843962200 128.092499500 293.2520 0.014000 0.014000 0.014000
1776141260260664963 36.843962300 128.092501300 293.2560 0.014000 0.014000 0.016000
1776141260742223820 36.843962400 128.092503200 293.2530 0.014000 0.014000 0.015000
1776141261256145183 36.843962500 128.092505000 293.2700 0.014000 0.014000 0.017000
1776141261746670852 36.843962600 128.092506800 293.2710 0.014000 0.014000 0.017000
1776141262258138259 36.843962700 128.092508700 293.2690 0.014000 0.014000 0.017000
1776141262754208598 36.843962800 128.092510600 293.2540 0.014000 0.014000 0.016000
1776141263259178964 36.843962900 128.092512500 293.2670 0.014000 0.014000 0.017000
1776141263757181357 36.843963000 128.092514300 293.2480 0.014000 0.014000 0.016000
1776141264265889398 36.843963100 128.092516100 293.2510 0.014000 0.014000 0.017000
1776141264754669998 36.843963300 128.092518000 293.2470 0.014000 0.014000 0.017000
1776141265259161431 36.843963400 128.092519900 293.2690 0.014000 0.014000 0.017000
1776141265759390148 36.843963500 128.092521700 293.2700 0.014000 0.014000 0.019000
1776141266265698753 36.843963600 128.092523600 293.2640 0.014000 0.014000 0.019000
1776141266749613197 36.843963700 128.092525500 293.2560 0.014000 0.014000 0.017000
1776141267260080037 36.843963900 128.092527300 293.2730 0.014000 0.014000 0.019000
1776141267750617209 36.843964100 128.092529200 293.2750 0.014000 0.014000 0.019000
1776141268257310659 36.843964300 128.092531100 293.2920 0.014000 0.014000 0.024000
1776141268756673184 36.843964200 128.092533100 293.2770 0.014000 0.014000 0.022000
1776141269263656020 36.843964400 128.092534900 293.2900 0.014000 0.014000 0.021000
1776141269748628698 36.843964600 128.092536800 293.2850 0.014000 0.014000 0.021000
1776141270268060237 36.843964800 128.092538600 293.2720 0.014000 0.014000 0.021000
1776141270754073779 36.843965000 128.092540600 293.2700 0.014000 0.014000 0.023000
1776141271257603252 36.843965100 128.092542600 293.2720 0.014000 0.014000 0.025000
1776141271757165856 36.843965300 128.092544500 293.2890 0.014000 0.014000 0.023000
1776141272259552034 36.843965300 128.092546400 293.2940 0.014000 0.014000 0.024000
1776141272749131507 36.843965500 128.092548400 293.2940 0.014000 0.014000 0.022000
1776141273258671315 36.843965700 128.092550300 293.3010 0.014000 0.014000 0.024000
1776141273750070848 36.843966000 128.092552300 293.2920 0.014000 0.014000 0.022000
1776141274260590059 36.843966200 128.092554300 293.2710 0.014000 0.014000 0.026000
1776141274763616630 36.843966500 128.092556300 293.2660 0.014000 0.014000 0.023000
1776141275270560232 36.843966700 128.092558300 293.2650 0.014000 0.014000 0.027000
1776141275754589496 36.843966900 128.092560300 293.2610 0.014000 0.014000 0.023000
1776141276274106170 36.843967100 128.092562400 293.2730 0.014000 0.014000 0.024000
1776141276754135535 36.843967500 128.092564500 293.2730 0.014000 0.014000 0.022000
1776141277270561677 36.843967700 128.092566600 293.2630 0.014000 0.014000 0.022000
1776141277757503391 36.843967900 128.092568600 293.2320 0.014000 0.014000 0.021000
1776141278274109102 36.843968200 128.092570700 293.2490 0.014000 0.014000 0.021000
1776141278753523531 36.843968400 128.092572800 293.2460 0.014000 0.014000 0.019000
1776141279268924395 36.843968600 128.092574800 293.2330 0.014000 0.014000 0.021000
1776141279750563324 36.843968800 128.092577000 293.2300 0.014000 0.014000 0.021000
1776141280261456629 36.843969100 128.092579000 293.2520 0.014000 0.014000 0.020000
1776141280760536038 36.843969300 128.092581000 293.2360 0.014000 0.014000 0.020000
1776141281262461217 36.843969500 128.092583200 293.2350 0.014000 0.014000 0.021000
1776141281751549764 36.843969700 128.092585300 293.2450 0.014000 0.014000 0.019000
1776141282263516450 36.843969900 128.092587400 293.2300 0.014000 0.014000 0.022000
1776141282751521233 36.843970100 128.092589500 293.2020 0.014000 0.014000 0.023000
1776141283257042138 36.843970400 128.092591500 293.2200 0.014000 0.014000 0.024000
1776141283754150541 36.843970600 128.092593600 293.2440 0.014000 0.014000 0.024000
1776141284264531315 36.843970800 128.092595800 293.2200 0.014000 0.014000 0.024000
1776141284752976508 36.843970900 128.092597900 293.2000 0.014000 0.014000 0.019000
1776141285262571445 36.843971200 128.092600000 293.1890 0.014000 0.014000 0.022000
1776141285755547840 36.843971300 128.092602100 293.2040 0.014000 0.014000 0.017000
1776141286259942864 36.843971600 128.092604200 293.1820 0.014000 0.014000 0.018000
1776141286751952783 36.843971800 128.092606400 293.1970 0.014000 0.014000 0.019000
1776141287257583345 36.843971900 128.092608300 293.2020 0.014000 0.014000 0.021000
1776141287747037424 36.843972100 128.092610200 293.2540 0.014000 0.014000 0.019000
1776141288261079669 36.843972400 128.092612300 293.2570 0.014000 0.014000 0.022000
1776141288750971379 36.843972700 128.092614400 293.2140 0.014000 0.014000 0.020000
1776141289259928774 36.843972800 128.092616400 293.2430 0.014000 0.014000 0.020000
1776141289750948922 36.843973200 128.092618400 293.2550 0.014000 0.014000 0.018000
1776141290261608641 36.843973600 128.092620600 293.2180 0.014000 0.014000 0.018000
1776141290753459164 36.843974100 128.092622800 293.2180 0.014000 0.014000 0.021000
1776141291260003294 36.843974600 128.092624700 293.2270 0.014000 0.014000 0.023000
1776141291752579347 36.843975200 128.092626700 293.2230 0.014000 0.014000 0.024000
1776141292252906785 36.843975600 128.092629200 293.2040 0.014000 0.014000 0.027000
1776141292750546022 36.843975900 128.092631100 293.2230 0.014000 0.014000 0.025000
1776141293257933463 36.843976400 128.092632800 293.2450 0.014000 0.014000 0.027000
1776141293752604563 36.843976800 128.092635100 293.2560 0.014000 0.014000 0.021000
1776141294261901203 36.843977300 128.092637600 293.1990 0.014000 0.014000 0.024000
1776141294756495987 36.843977700 128.092640300 293.1330 0.014000 0.014000 0.027000
1776141295253919270 36.843978300 128.092642500 293.1240 0.015000 0.015000 0.031000
1776141295749413682 36.843978400 128.092644300 293.1320 0.014000 0.014000 0.025000
1776141296258508345 36.843979000 128.092646400 293.0920 0.014000 0.014000 0.025000
1776141296744863525 36.843979200 128.092648200 293.0570 0.014000 0.014000 0.022000
1776141297255353725 36.843979400 128.092650100 293.0520 0.014000 0.014000 0.023000
1776141297746466615 36.843979700 128.092651900 292.9890 0.014000 0.014000 0.020000
1776141298249309557 36.843979900 128.092653800 292.9750 0.014000 0.014000 0.020000
1776141298745627484 36.843979900 128.092655900 292.9470 0.014000 0.014000 0.017000
1776141299250361967 36.843979900 128.092657500 292.9340 0.014000 0.014000 0.020000
1776141299745906904 36.843979800 128.092659500 292.9040 0.014000 0.014000 0.018000
1776141300256355087 36.843979600 128.092661300 292.9030 0.014000 0.014000 0.020000
1776141300747567290 36.843979100 128.092663000 292.9320 0.014000 0.014000 0.021000
1776141301247408772 36.843978800 128.092664900 292.8770 0.014000 0.014000 0.021000
1776141301743951801 36.843978400 128.092666600 292.9690 0.014000 0.014000 0.022000
1776141302254845455 36.843977800 128.092668400 292.9860 0.014000 0.014000 0.026000
1776141302745350413 36.843977100 128.092670300 292.8990 0.014000 0.014000 0.025000
1776141303253417135 36.843976200 128.092672100 292.9190 0.014000 0.014000 0.026000
1776141303743331400 36.843975200 128.092674000 292.8560 0.014000 0.014000 0.029000
1776141304252503504 36.843974200 128.092675500 292.9420 0.014000 0.014000 0.029000
1776141304745036513 36.843973000 128.092676800 292.8860 0.014000 0.014000 0.023000
1776141305250338753 36.843971900 128.092678300 292.9320 0.014000 0.014000 0.026000
1776141305733895227 36.843970600 128.092679500 292.9480 0.014000 0.014000 0.020000
1776141306254848457 36.843969300 128.092680900 292.9220 0.014000 0.014000 0.025000
1776141306742341543 36.843967900 128.092682300 292.9640 0.014000 0.014000 0.022000
1776141307252878474 36.843966200 128.092682900 292.8820 0.014000 0.014000 0.026000
1776141307742454809 36.843964400 128.092683000 292.8560 0.014000 0.014000 0.025000
1776141308245918733 36.843962500 128.092683700 292.9080 0.014000 0.014000 0.024000
1776141308742377553 36.843960800 128.092683500 292.9400 0.014000 0.014000 0.023000
1776141309251790604 36.843959100 128.092683500 292.9450 0.018000 0.018000 0.029000
1776141309741886821 36.843957600 128.092683100 292.8750 0.015000 0.015000 0.026000
1776141310245346501 36.843955800 128.092683200 292.8000 0.015000 0.015000 0.034000
1776141310746785285 36.843954000 128.092683200 292.7730 0.014000 0.014000 0.029000
1776141311251931247 36.843952400 128.092683500 292.7510 0.014000 0.014000 0.031000
1776141311743772236 36.843950700 128.092683200 292.7580 0.016000 0.016000 0.039000
1776141312255353772 36.843948900 128.092683800 292.8460 0.017000 0.017000 0.046000
1776141312744826605 36.843947300 128.092683700 292.8700 0.016000 0.016000 0.043000
1776141313253745294 36.843945600 128.092683600 292.8030 0.016000 0.016000 0.045000
1776141313742805446 36.843944100 128.092683400 292.8180 0.015000 0.015000 0.035000
1776141314251267234 36.843942300 128.092682900 292.8900 0.015000 0.015000 0.037000
1776141314737325872 36.843940500 128.092682500 292.9320 0.014000 0.014000 0.033000
1776141315253774238 36.843938700 128.092682700 292.8930 0.015000 0.015000 0.032000
1776141315741746872 36.843936900 128.092682100 292.9450 0.014000 0.014000 0.027000
1776141316249243986 36.843935400 128.092682200 292.9910 0.014000 0.014000 0.026000
1776141316740727698 36.843933500 128.092682100 292.9660 0.014000 0.014000 0.024000
1776141317248756053 36.843931700 128.092682100 292.8980 0.014000 0.014000 0.025000
1776141317740826973 36.843930500 128.092682200 292.9400 0.014000 0.014000 0.022000
1776141318250737260 36.843930400 128.092682100 292.9820 0.014000 0.014000 0.022000
1776141318740223152 36.843930300 128.092682000 292.9520 0.014000 0.014000 0.023000
1776141319245983756 36.843930200 128.092682000 292.9460 0.014000 0.014000 0.023000
1776141319742880485 36.843930000 128.092682100 292.9770 0.014000 0.014000 0.022000
1776141320258369113 36.843929700 128.092682000 292.9680 0.014000 0.014000 0.021000
1776141320749239557 36.843929400 128.092682000 292.9960 0.014000 0.014000 0.019000
1776141321259190090 36.843929200 128.092682000 293.0120 0.014000 0.014000 0.018000
1776141321747829293 36.843928800 128.092682100 293.0130 0.014000 0.014000 0.017000
1776141322256873358 36.843928300 128.092682100 293.0040 0.014000 0.014000 0.018000
1776141322748464944 36.843927800 128.092681800 292.9950 0.014000 0.014000 0.017000
1776141323259726973 36.843927100 128.092681700 292.9960 0.014000 0.014000 0.018000
1776141323744251041 36.843926400 128.092681500 293.0130 0.014000 0.014000 0.019000
1776141324260358702 36.843925600 128.092681500 293.0060 0.014000 0.014000 0.018000
1776141324747810317 36.843924600 128.092681400 293.0190 0.014000 0.014000 0.018000
1776141325256275082 36.843923400 128.092681200 293.0230 0.014000 0.014000 0.018000
1776141325752242395 36.843922400 128.092681200 293.0400 0.014000 0.014000 0.015000
1776141326258338150 36.843921200 128.092681000 293.0130 0.014000 0.014000 0.015000
1776141326753286424 36.843920000 128.092680900 293.0320 0.014000 0.014000 0.015000
1776141327261338687 36.843918800 128.092680900 293.0280 0.014000 0.014000 0.017000
